School_ID,School_Name,District,Student_Strength,Current_Teacher_Count,Required_Teacher_Count,Student_Teacher_Ratio,Subject_Wise_Vacancy
SCH0001,Govt. Senior Secondary School West-1,West Delhi,1226,38,40,32.26,"{'Hindi': 0, 'Sanskrit': 2, 'English': 2, 'Science': 3}"
SCH0002,Govt. Senior Secondary School Kota-2,Kota,1824,59,60,30.92,"{'Chemistry': 2, 'Mathematics': 1, 'Art': 2, 'Science': 2, 'Hindi': 2, 'Geography': 2}"
SCH0003,Govt. Senior Secondary School Udaipur-3,Udaipur,187,5,6,37.4,"{'Hindi': 3, 'Physical Education': 3, 'Computer Science': 3, 'History': 2, 'Chemistry': 1, 'Sanskrit': 0}"
SCH0004,Govt. Middle School Jaipur-4,Jaipur,869,30,28,28.97,"{'Art': 3, 'Sanskrit': 1}"
SCH0005,Govt. Primary School New-5,New Delhi,905,26,30,34.81,"{'Social Science': 3, 'English': 3, 'Hindi': 0, 'Physics': 0}"
SCH0006,Govt. Senior Secondary School West-6,West Delhi,559,22,18,25.41,"{'Science': 1, 'Physics': 0, 'Art': 3, 'Geography': 0, 'Social Science': 0}"
SCH0007,Govt. Primary School South-7,South Delhi,574,24,19,23.92,"{'Science': 2, 'Chemistry': 1, 'Sanskrit': 3, 'History': 3, 'Social Science': 3, 'Physics': 3}"
SCH0008,Govt. High School Ajmer-8,Ajmer,1906,60,63,31.77,"{'Mathematics': 3, 'Computer Science': 2}"
SCH0009,Govt. Middle School Gurgaon-9,Gurgaon,1367,48,45,28.48,"{'Sanskrit': 2, 'Hindi': 0}"
SCH0010,Govt. Primary School West-10,West Delhi,1942,65,64,29.88,"{'Biology': 0, 'Computer Science': 0, 'Physics': 2, 'English': 1}"
SCH0011,Govt. Middle School Lucknow-11,Lucknow,487,19,16,25.63,"{'Computer Science': 3, 'Social Science': 1, 'Physical Education': 1}"
SCH0012,Govt. High School East-12,East Delhi,876,33,29,26.55,"{'Physical Education': 0, 'Hindi': 1, 'English': 3, 'Biology': 3, 'Chemistry': 2, 'Social Science': 3}"
SCH0013,Govt. High School Kota-13,Kota,1578,58,52,27.21,"{'Sanskrit': 0, 'Art': 3, 'Mathematics': 2, 'Hindi': 2}"
SCH0014,Govt. Middle School South-14,South Delhi,305,5,10,61.0,"{'Social Science': 3, 'Science': 1, 'Hindi': 3, 'Geography': 3, 'Physics': 1}"
SCH0015,Govt. Primary School Noida-15,Noida,1121,37,37,30.3,"{'Computer Science': 1, 'Biology': 1, 'English': 3, 'Social Science': 1, 'Physical Education': 0}"
SCH0016,Govt. Middle School Gurgaon-16,Gurgaon,802,22,26,36.45,"{'Chemistry': 1, 'Geography': 3, 'Sanskrit': 1, 'Physics': 1, 'Hindi': 1, 'English': 3}"
SCH0017,Govt. Primary School Udaipur-17,Udaipur,369,14,12,26.36,"{'Art': 1, 'Mathematics': 2}"
SCH0018,Govt. High School West-18,West Delhi,1375,48,45,28.65,"{'Art': 1, 'Computer Science': 3, 'Chemistry': 0}"
SCH0019,Govt. Senior Secondary School Bikaner-19,Bikaner,819,34,27,24.09,"{'Chemistry': 1, 'Geography': 2, 'Biology': 0, 'History': 3, 'Social Science': 1}"
SCH0020,Govt. Senior Secondary School Kota-20,Kota,316,16,10,19.75,"{'Computer Science': 3, 'History': 3}"
SCH0021,Govt. Middle School Faridabad-21,Faridabad,592,22,19,26.91,"{'Social Science': 0, 'Chemistry': 2}"
SCH0022,Govt. Primary School New-22,New Delhi,1936,59,64,32.81,"{'Physical Education': 0, 'Sanskrit': 2}"
SCH0023,Govt. High School Faridabad-23,Faridabad,620,22,20,28.18,"{'Science': 0, 'Computer Science': 3, 'Social Science': 3, 'Art': 3, 'History': 2, 'Hindi': 2}"
SCH0024,Govt. Middle School Central-24,Central Delhi,1622,49,54,33.1,"{'History': 3, 'Art': 2, 'Sanskrit': 2}"
SCH0025,Govt. Middle School North-25,North Delhi,388,17,12,22.82,"{'Mathematics': 0, 'Science': 1, 'Physics': 2, 'Social Science': 1, 'Hindi': 0}"
SCH0026,Govt. High School South-26,South Delhi,1151,39,38,29.51,"{'Science': 0, 'Sanskrit': 3, 'Physical Education': 3, 'Biology': 1, 'Art': 0, 'History': 3}"
SCH0027,Govt. High School Central-27,Central Delhi,602,21,20,28.67,"{'History': 1, 'English': 3, 'Social Science': 0, 'Sanskrit': 2, 'Geography': 3}"
SCH0028,Govt. High School Varanasi-28,Varanasi,1995,66,66,30.23,"{'Art': 2, 'Physical Education': 2, 'Sanskrit': 0, 'Hindi': 2, 'Social Science': 0, 'Chemistry': 2}"
SCH0029,Govt. Primary School Lucknow-29,Lucknow,1585,49,52,32.35,"{'Biology': 0, 'Science': 0, 'Hindi': 1, 'Physical Education': 2, 'Art': 2, 'Physics': 1}"
